title,image_url,description
"Arrival of the Normandy Train, Gare Saint-Lazare","https://www.artic.edu/iiif/2/0f1cc0e0-e42e-be16-3f71-2022da38cb93/full/843,/0/default.jpg","The Impressionists frequently paid tribute to the modern aspects of Paris. Their paintings abound with scenes of grand boulevards and elegant, new blocks of buildings, as well as achievements of modern construction such as iron bridges, exhibition halls, and train sheds. was an especially appropriate choice of subject for Claude Monet in the 1870s. The terminal, linking Paris and Normandy, where Monet’s technique of painting outdoors had been nurtured in the 1860s, was also the point of departure for towns and villages to the west and north of Paris frequented by the Impressionists. Monet completed eight of his twelve known paintings of the Gare Saint-Lazare in time for the third Impressionist exhibition, in 1877, probably placing them in the same gallery. Monet chose to focus his attention here on the glass-and-iron train shed, where he found an appealing combination of artificial and natural effects: the rising steam of locomotives trapped within the structure, and daylight penetrating the large, glazed sections of the roof. Monet’s depictions of the station inaugurated what was to become for him an established pattern of painting a specific motif repeatedly in order to capture subtle and temporal atmospheric changes. But the series also represented his last attempt to deal with urban realities: from this point on in his career, Monet would be largely a painter of landscapes."
Mao,"https://www.artic.edu/iiif/2/97cb5c4b-cce5-c4d8-f303-613ce92832c7/full/843,/0/default.jpg","The most influential of Pop artists, Andy Warhol cast a cool, ironic light on the pervasiveness of commercial culture and contemporary celebrity worship. Early in his career, he began to utilize the silk-screen process to transfer photographed images to canvas, creating multiple portraits of celebrities including Marilyn Monroe, Elvis Presley, and Jacqueline Kennedy, as well as duplicated images of mass-produced products such as Campbell’s soup cans and Coca-Cola bottles. In this example from his series, Warhol melded his signature style with the scale of totalitarian propaganda to address the cult of personality surrounding the Chinese ruler Mao Zedong (1893–1976). Nearly fifteen feet tall, this towering work mimics the representations of the political figure that were ubiquitously displayed throughout China. Warhol’s looming portrait impresses us with the duality of its realistic qualities and its plastic artificiality. In contrast to the photographic nature of the image, garish colors are applied to Mao’s face like makeup. The gestural handling of color in the portrait shows Warhol at his most painterly."
America Windows,"https://www.artic.edu/iiif/2/e5d11520-96cd-8b62-06a9-6d16ddf8affd/full/843,/0/default.jpg","Marc Chagall made to celebrate the US Bicentennial and presented them as a gift to the Art Institute of Chicago in 1977. The windows merge symbols of US history, the Chicago skyline, and the arts; read from left to right, the panels represent music, painting, literature, architecture, theater, and dance. Best known as a painter, Chagall had been working in stained glass for several decades by the 1970s. He was drawn to the medium as a way to explore intense color on a monumental scale. Working with stained-glass maker Charles Marq, Chagall executed 86 windows across Europe, Israel, and the United States."
Inventions of the Monsters,"https://www.artic.edu/iiif/2/be9551d4-860f-37a0-1408-086617f1824e/full/843,/0/default.jpg","Salvador Dalí, Surrealism’s most publicized practitioner, created monstrous visions of a world turned inside out, which he made even more compelling through his extraordinary technical skills. When the Art Institute acquired in 1943, the artist wrote his congratulations and explained: “According to Nostradamus the apparition of monsters presages the outbreak of war. The canvas was painted in the Semmering mountains near Vienna a few months before the Anschluss [the 1938 political union of Austria and Germany] and has a prophetic character. Horse women equal maternal river monsters.  Flaming giraffe equals masculine apocalyptic monster. Cat angel equals divine heterosexual monster. Hourglass equals metaphysical monster. Gala and Dalí equal sentimental monster. The little blue dog is not a true monster.” has an ominous mood. It is rife with threats of danger, from the menacing fire in the distance to the sibylline figure in the foreground with an hourglass and a butterfly, both symbols of the inevitability of death. Next to this figure sit Dalí and his wife and muse, Gala. With his native Catalonia embroiled in the Spanish Civil War, the artist surely felt great anxiety over a world without a safe haven, a world that indeed had allowed for the invention of monsters."
The Rock,"https://www.artic.edu/iiif/2/2843f22e-8ef1-2cd5-b53e-6712cd664e9a/full/843,/0/default.jpg","A startling juxtaposition of images, depicts a shattered red rock resting on top of a base that is being demolished by workers below. Peter Blume labored for years to complete this painting, which was commissioned in 1939 by the Edgar Kaufmann family for Fallingwater, their Frank Lloyd Wright–designed home in Pennsylvania. Although the complex imagery resists easy interpretation, it may point to devastation and reconstruction, reflecting the turbulence of World War II and its aftermath. In the end, proved too large for Fallingwater and it was never displayed there."
Daniel-Henry Kahnweiler,"https://www.artic.edu/iiif/2/aebda29e-16b8-4393-6edc-805cdb6ba459/full/843,/0/default.jpg","The subject of this portrait is Daniel-Henry Kahnweiler (1884–1979), a German-born art dealer, writer, and publisher. Kahnweiler opened an art gallery in Paris in 1907 and in 1908 began representing Pablo Picasso, whom he introduced to Georges Braque. Kahnweiler was a great champion of the artists’ revolutionary experiment with Cubism and purchased the majority of their paintings between 1908 and 1915. He also wrote an important book, , in 1920, which offered a theoretical framework for the movement. Kahnweiler sat as many as thirty times for this portrait. No longer seeking to create the illusion of true appearances, Picasso broke down and recombined the forms he saw. He described Kahnweiler with a network of shimmering, semitransparent surfaces that merge with the atmosphere around him. Forms are fractured into various planes and faceted shapes and presented from several points of view. Despite the portrait’s highly abstract character, however, Picasso added attributes to direct the eye and focus the mind: a wave of hair, the knot of a tie, a watch chain. Out of the ﬂickering passages of brown, gray, black, and white emerges a rather traditional portrait pose of a seated man, his hands clasped in his lap."
Woman at Her Toilette,"https://www.artic.edu/iiif/2/78c80988-6524-cec7-c661-a4c0a706d06f/full/843,/0/default.jpg","Consistent with the Impressionist aesthetic that Berthe Morisot fervently espoused, attempts to capture the essence of modern life in summary, understated terms. The painting also moves discreetly into the realm of female eroticism explored by Edgar Degas, Édouard Manet, and Pierre-Auguste Renoir but seldom broached at this time by women artists. Rendered with soft, feathery brushstrokes in nuanced shades of lavender, pink, blue, white, and gray, the composition resembles a visual tone poem, orchestrated with such perfumed and rarified motifs as brushed blonde hair, satins, powder puffs, and ﬂower petals. The artist even signed her name along the bottom of the mirror, as if to suggest that the image in her painting is as ephemeral as a silvery reﬂection. Morisot exhibited in seven of the eight Impressionist group shows; this painting was included in the fifth exhibition, in 1880, where her work received great acclaim. She was a particularly close friend of and frequent model for Manet, and she married his younger brother Eugène the year before she completed this painting. In addition to domestic interiors such as this one, Morisot’s pictorial realm included studies of women and children, gardens, fields, and seaside vacation homes."
Saint George and the Dragon,"https://www.artic.edu/iiif/2/8a0e4ac9-43ea-bc3e-884b-ee27f8a10501/full/843,/0/default.jpg","Bernat Martorell was the greatest painter of the first half of the fifteenth century in Catalonia in northeastern Spain. Depicted here is the most frequently represented episode from the popular legend of Saint George, in which the model Christian knight saves a town and rescues a beautiful princess. Conceived in the elegant, decorative International Gothic style, the painting was originally the center of an altarpiece dedicated to Saint George that was apparently made for the chapel of the palace of the Catalan government in Barcelona. This central scene was surrounded by four smaller narrative panels, now in the Musée du Louvre, Paris, and was probably surmounted by a lost image of Christ on the Cross. Here Saint George, on his white steed, triumphs over the evil dragon. A wealth of precisely observed details intensifies the drama. Dressed in an ermine-lined robe, the princess wears a sumptuous gilt crown atop her wavy red-gold hair. Her parents and their subjects watch the spectacle from the distant town walls. George’s halo and armor and the scaly body of the dragon are richly modeled with raised stucco decoration. Martorell also treated the ground, littered with bones and crawling with lizards, in a lively manner, giving it a gritty texture."
Distant View of Niagara Falls,"https://www.artic.edu/iiif/2/18092196-50ae-3ff1-9205-1b3110e966c3/full/843,/0/default.jpg","Thomas Cole visited Niagara Falls in May 1829, composing this romanticized, autumnal scene the following year. Portraying the grandeur of the American landscape, the artist omitted the factories, scenic overlooks, and hotels that populated the area in the early 19th century. Cole expressed concern about the environmental impact of voracious industrialism, but at the same time his painting erased the human devastation wrought by colonialism and conquest in the region, which encompassed Attiwonderonk, Haudenosaunee, and Wenrohronon lands. The two Native American figures at center, combined with the falls, identify the setting as North America, but their diminished presence in scale and number reinforces the false idea of the “vanishing Indian” and is meant to signal impending transformation rather than acknowledge their stolen sovereignty."
The Red Armchair,"https://www.artic.edu/iiif/2/c617e2f0-d5fe-0772-390e-6d8c83895815/full/843,/0/default.jpg","In December 1931 Pablo Picasso began a series of paintings of Marie-Thérèse Walter, a French model with whom he was romantically involved while married to his first wife, Olga Khokhlova. Perhaps acknowledging their double life, Picasso invented a new motif–a face encompassing both frontal and profile views. A constant innovator, Picasso experimented with materials as well as with form and style. demonstrates the artist’s inventive use of Ripolin, an industrial house paint. Mixing it with oil paint he produced various surfaces, from the rough, yellow background to the almost brushless finish of the black lines."
The Beach at Sainte-Adresse,"https://www.artic.edu/iiif/2/95be2572-b53d-8e7b-abc9-10eb48d4fa5d/full/843,/0/default.jpg","In the summer of 1867 Claude Monet stayed with his aunt in Sainte-Adresse, an affluent suburb of the port city of Le Havre in Normandy, where the artist grew up. Monet began the painting outdoors on an overcast day but likely revised the composition in his studio in view of other related canvases, especially the Metropolitan Museum of Art’s (51.30.4). revealed that what started as a scene of yachts and tourists at the beach ultimately became a view of sailboats and local fishermen. Monet first exhibited this painting at the Impressionist exhibition of 1876, the second of eight independent exhibitions he mounted with a group of like-minded avant-garde artists who sought to present their work outside of France’s traditional, state-sponsored Salon system."
That Which I Should Have Done I Did Not Do (The Door),"https://www.artic.edu/iiif/2/0ecc7b1a-70b3-7ac6-1a46-3401d0963aa6/full/843,/0/default.jpg","Replete with powerful imagery and bearing a long, philosophical title, is an evocative meditation on the choices and regrets in life. Ivan Albright considered to be his most important picture, and he worked for ten years to achieve its mesmerizing effect. He spent weeks collecting props for the painting: a marred Victorian door found in a junkyard, a faded wax funeral wreath, and a tombstone for the doorsill. Once he arranged these objects, Albright completed an elaborate charcoal underdrawing that he then covered with the intricate and obsessively painted detail that characterizes most of his work. He would often finish no more than a quarter of a square inch a day. A wrinkled, aging woman’s hand rests on the carved doorway, a faded blue handkerchief clenched between the fingers. The poignant placement of the hand, near but not touching the doorknob, only underscores the sense of remorse and mourning implied by the painting. With its profound themes of mortality and the passage of time, is a modern memento mori that encourages a consideration of the brevity of human existence."
Venus de Milo with Drawers,"https://www.artic.edu/iiif/2/678c7a7a-b8c7-2857-7b97-f3c3501b8b1c/full/843,/0/default.jpg","Among Salvador Dalí’s many memorable works, perhaps none is more deeply embedded in the popular imagination than , a half-size plaster reproduction of the famous marble statue (130 /120 BC; Musée du Louvre, Paris), altered with pom-pom-decorated drawers in the figure’s forehead, breasts, stomach, abdomen, and left knee. The combination of cool painted plaster and silky mink tufts illustrates the Surrealist interest in uniting different elements to spark a new reality. For the Surrealists, the best means of provoking this revolution of consciousness was a special kind of sculpture that, as Dalí explained in a 1931 essay, was “absolutely useless … and created wholly for the purpose of materializing in a fetishistic way, with maximum tangible reality, ideas and fantasies of a delirious character.” Dalí’s essay, which drew upon the ideas of Marcel Duchamp’s readymades, inaugurated object making as an integral part of Surrealist activities. Influenced by the work of Sigmund Freud, Dalì envisioned the idea of a cabinet transformed into a female figure, which he called an “anthropomorphic cabinet.” is the culmination of his explorations into the deep, psychological mysteries of sexual desire, which are symbolized in the figure of the ancient goddess of love."
Improvisation No. 30 (Cannons),"https://www.artic.edu/iiif/2/9e00e226-9264-cda0-2893-685e0ca5b285/full/843,/0/default.jpg","In his 1912 book , Vasily Kandinsky made an analogy between music and painting as two means of abstraction, a radical mode of artmaking that freed color and line from their traditionally representational functions. Between 1910 and 1914 he produced “improvisations,” works he described as unconscious, spontaneous expressions. Kandinsky commented on in a letter to Arthur Jerome Eddy, a friend and collector from Chicago: “The cannons … could probably be explained by the constant war talk going on through the year [but] the true contents are what the spectator experiences while under the effect of the forms and color combinations of the picture.”"
The Herring Net,"https://www.artic.edu/iiif/2/5dca7347-c6dc-24dd-d073-d705b9cdc575/full/843,/0/default.jpg","In 1883 Winslow Homer moved to the small coastal village of Prouts Neck, Maine, where he created a series of paintings of the sea unparalleled in American art. Long inspired by the subject, Homer had spent summers visiting New England fishing villages during the 1870s, and in 1881–82 he made a trip to a fishing community in Cullercoats, England, that fundamentally changed his work and his life. The paintings he created after 1882 focus almost exclusively on humankind’s age-old contest with nature. Here Homer depicted the heroic efforts of fishermen at their daily work, hauling in an abundant catch of herring. In a small dory, two figures loom large against the mist on the horizon, through which the sails of the mother schooners are dimly visible. While one fisherman hauls in the netted and glistening herring, the other unloads the catch. Utilizing the teamwork so necessary for survival, both strive to steady the precarious boat as it rides the incoming swells. Homer’s isolation of these two figures underscores the monumentality of their task: the elemental struggle against a sea that both nurtures and deprives."
Into the World There Came a Soul Called Ida,"https://www.artic.edu/iiif/2/2d43ebe4-89aa-ae2d-6fd6-085bb6b77ee0/full/843,/0/default.jpg","Holding a mirror, powdering her chest, and surrounded with accoutrements of fashion and beauty, the figure portrayed here does not necessarily inspire thoughts of youth and vibrancy. Rather, as one critic put it when this painting was first exhibited, he saw a “woman with flesh the color of a corpse drowned six weeks.” Ida Rogers herself was 19 years old at the time she posed for the artist. With his hyperbolic version of realism, Ivan Albright laboriously transformed his sitter into a vision of his own making. The painting is less a portrait than a meticulous musing on the passage of time and the relationship—both powerful and fragile—between mind and body."
"Lozenge Composition with Yellow, Black, Blue, Red, and Gray","https://www.artic.edu/iiif/2/25f660ee-f1db-d13b-42a5-56df97c98ba7/full/843,/0/default.jpg","Piet Mondrian, a painter of the revolutionary international movement De Stijl (the Style), argued that “the straight line tells the truth.” Why, then, we might wonder, would he choose to hang a painting off axis, where its edges imply dynamic diagonals? Among other motivations, rotating the canvas allowed Mondrian to reconsider a question he spent his career exploring, namely, the relationship between the contents of a painting and what contains them. In , the squared-off black lines imply enclosure, while a single line (above the blue area) extends to the slanted edge, suggesting extension beyond the canvas. This implication of what might lie beyond also prompted Mondrian to invoke the full expanse of the wall by hanging diagonal paintings well above eye level."
Nocturne: Blue and Gold—Southampton Water,"https://www.artic.edu/iiif/2/50034c7f-ce51-00f1-430e-a6f7efc233fc/full/843,/0/default.jpg","In the early 1870s James McNeill Whistler took a radical step toward abstraction with his Nocturnes series. In keeping with his art-for-art’s-sake creed, these works capture the stillness of evening while evoking the artistry of music. Unlike his earlier marine paintings, the subject of this work—an inlet along the English Channel near Southampton—is obscured by the approaching night. Large shipping vessels appear as ghostly shapes, reduced to shadowy forms by the deepening twilight, while the only points of brightness come from the subtle reflections of lights and the fragmented orb of the moon. The setting thus serves primarily as a vehicle for Whistler’s interest in the tonal harmonies of darkness."
Acrobats at the Cirque Fernando (Francisca and Angelina Wartenberg),"https://www.artic.edu/iiif/2/321c45f5-22a3-84a2-44cc-cf66642d4cf2/full/843,/0/default.jpg","The two little circus girls in this painting are Francisca and Angelina Wartenberg, who performed as acrobats in the famed Cirque Fernando in Paris. Although they were depicted in the center of a circus ring, the sisters actually posed in costume in Pierre-Auguste Renoir’s studio, enabling him to paint them in daylight. Here he portrayed them just as they have finished their act and are taking their bows. One sister turns to the crowd, acknowledging its approval, while the other faces the viewer with an armful of oranges, a rare treat that the audience has tossed in tribute. Although reﬂects the artist’s enchantment with the innocence of childhood—he has enveloped the girls in a virtual halo of pinks, oranges, yellows, and whites—the partially visible, darkly clothed (mainly male) spectators allude to the less wholesome, nocturnal demimonde of the nineteenth-century circus in which these two young performers grew up. The famed Chicago collector Mrs. Potter Palmer purchased in 1892 and was so enamored of the picture that she kept it with her at all times, even on her travels abroad."
"The Shelton with Sunspots, N.Y.","https://www.artic.edu/iiif/2/adffecec-bc0d-0eee-b62b-a411fb208073/full/843,/0/default.jpg","“I went out one morning to look at [the Shelton Hotel] and there was the optical illusion of a bite out of one side of the tower made by the sun, with sunspots against the building and against the sky,” said Georgia O’Keeffe, recalling the precise moment that inspired her to paint Although her depictions of flowers and the southwestern landscape are powerful and evocative, O’Keeffe painted a group of cityscapes in the 1920s that are no less intriguing. She married the photographer and dealer Alfred Stieglitz in 1924, and the following year they moved into the Shelton, a recently completed skyscraper. O’Keeffe was fascinated by the soaring height of the building and emphasized its majesty in this painting by rendering it from the street below. In the glaring light of the emerging sun, the building becomes an abstracted series of rectangles arranged in the center of the composition. Yet the hard edges of the Shelton are softened by the numerous circular sunspots and wavy, flowing lines of smoke and steam, suggesting that despite her urban subject matter, O’Keeffe nevertheless sought to unify man-made and organic forms, just as she would in her southwestern paintings such as ."
Landscape with Saint John on Patmos,"https://www.artic.edu/iiif/2/aa870b0d-5a1b-660a-6dc6-56c12109cf6e/full/843,/0/default.jpg","Although French by birth and training, Nicolas Poussin spent most of his career in Rome, immersed in the study of ancient art, where he painted classically inspired works for an educated elite. His art has long been considered the embodiment of the ideals of seventeenth-century classicism. In this painting, Saint John, one of the four Evangelists who wrote the Gospels of the New Testament, reclines beside his attribute, the eagle. He is here depicted as a powerful old man, presumably after retiring to the Greek island of Patmos to write his gospel and the book of Revelation at the end of his life. To suggest the vanished glory of the ancient world, Poussin carefully constructed an idealized setting for the saint, complete with an obelisk, a temple, and column fragments. Man-made and natural forms were adjusted according to principles of geometry and logic to convey the measured order of the scene. Even the profile view of Saint John is in harmony with the classical landscape. This painting may have been part of a projected series on the four Evangelists—in addition to this work, Poussin completed a companion, (1640; Gemäldegalerie, Berlin)."
The Millinery Shop,"https://www.artic.edu/iiif/2/6f513908-03cc-b974-633b-adfce56b7936/full/843,/0/default.jpg","Of at least fifteen pastels, drawings, and paintings that Edgar Degas created on this subject during the 1880s, is the largest and perhaps the most ambitious. As a result of its unusual cropping and tilted perspective, it seems to capture an unedited glimpse of the interior of a small nineteenth-century millinery shop. The identity of the young woman in the painting remains unclear: she may be a shop girl or a customer. In an early version of the composition, the woman is clearly intended to be a customer; she wears a fashionable dress, though her hat—a prerequisite token of bourgeois culture—is absent. In the final painting, however, the woman appears with her mouth pursed, as if around a pin, and her hands gloved, possibly to protect the delicate fabric of the hat she holds. Degas seems to have deliberately left her role as a creator or consumer ambiguous. She is totally absorbed in her activity and, like most of the women in Degas’s paintings, seems unaware of being watched. The bonnets that are displayed on the table next to her like a still life present an analogy to the artist’s creative process: where they are unfinished, so too is the painting."
Old Man with a Gold Chain,"https://www.artic.edu/iiif/2/83375479-f7a9-bac3-44a8-e705ab6e423c/full/843,/0/default.jpg","This evocative character study is an early example of a type of subject that preoccupied the great Dutch master Rembrandt van Rijn throughout his long career. Although his large output included landscapes, genre paintings, and the occasional still life, he focused on biblical and historical paintings and on portraits. As an extension of these interests, the artist studied the effect of a single figure, made dramatic through the use of costume and rich, subtle lighting. Rembrandt collected costumes to transform his models into characters. Here, the gold chain and steel gorget suggest an honored military career, while the plumed beret evokes an earlier time. The broad black mass of the old man’s torso against a neutral background is a powerful foil for these trappings. The face is that of a real person, weathered and watchful, glowing with pride and humanity. The unidentified sitter, once thought to be the artist’s father, was a favorite model, appearing in many of the artist’s early works. The confident execution suggests that the young Rembrandt completed this picture about 1631, when he had left his native Leiden to pursue a career in the metropolis of Amsterdam; perhaps he wished to use this work to demonstrate his skill in a genre that combined history painting and portraiture."
Golden Bird,"https://www.artic.edu/iiif/2/c8024369-fa0a-6438-0072-f9b9929a800b/full/843,/0/default.jpg","Trained in both folk and academic traditions, Constantin Brancusi sought his own path for sculpture around 1907. Breaking with the currents of the time, he adopted direct carving, combined different materials for single works, and simplified form in his search for his subjects’ essential characters. His works have profoundly influenced the development of twentieth-century abstraction. More than any other theme, Brancusi’s series summarizes his quest for a self-sufficient form. “All my life, I have sought to render the essence of flight,” the artist once said. He began the first of twenty-seven sculptures around 1910 and completed the last in the 1940s. He called the earliest variations , referring to a bird in Romanian folklore that leads a prince to his princess. In the Art Institute’s , details such as feet, a tail, and an upturned crowing beak are only suggested in an elegant, streamlined silhouette. Brâncusi perched this refined shape on a rough-hewn, geometric base, contrasting the disembodied, light-reflective surface with an earthbound mass. The central polyhedron was cut from the middle of a tree trunk, and its circles (indicating the tree’s age) rotate like a sun, as if radiating light over the bird."
The Earth Is a Man,"https://www.artic.edu/iiif/2/da65d795-bcc7-90e6-769e-f431d67a8c2d/full/843,/0/default.jpg","Trained as an architect, the Chilean-born Roberto Matta moved to France in 1933, where he worked in the studio of . The following year, he met the poet Federico García Lorca in Spain. After Lorca was assassinated by agents of Francisco Franco in 1936, Matta began a screenplay, , which he wrote in tribute to the slain hero. The play’s apocalyptic imagery, rapidly shifting perspectives, and emotionally charged language became the principal source of Matta’s visual art over the next five years. The painting represents the culmination of this project and draws on the artist’s earlier compositions, which he called “Inscapes” or “Psychological Morphologies.” In these, using a technique of psychic automatism developed by the Surrealists, Matta created turbulent forms that serve as visual analogues for states of consciousness. In this powerful, enigmatic work, forces of brilliant light seem to battle those of darkness. The artist spilled, brushed, and wiped on vaporous washes of paint to render the invisible waves of energy that shape and dissolve a molten, primordial terrain. The painting’s visual intensity evokes the tumultuous eruption of a volcano, such as one Matta had witnessed in Mexico in 1941. Exhibited shortly after its completion in New York City, where he had immigrated at the onset of World War II, the mural- size canvas, with its abstract and visionary qualities, enthralled and influenced a new generation of American artists, who would come to be known as the Abstract Expressionists."
